protein1	protein2	confidence
ALDOC	HTT	0.166
ALDOC	IMPA2	0.679
ALDOC	ISYNA1	0.447
ALDOC	LMAN1	0.454
ALDOC	MARS2	0.432
ALDOC	MYH7B	0.795
ALDOC	NSFL1C	0.188
ALDOC	OLA1	0.51
ALDOC	PGAM1	0.96
ALDOC	PGAM2	0.952
ALDOC	PGK1	0.907
ALDOC	PGK2	0.86
ALDOC	PREP	0.425
ALDOC	RAE1	0.426
ALDOC	SF1	0.417
ALDOC	SOD2	0.542
ALDOC	STXBP1	0.447
ALDOC	TAGLN2	0.507
ALDOC	TXNDC5	0.28
ALDOC	UBC	0.229
ALDOC	UMPS	0.417
ALDOC	WDFY1	0.426
ALG1	FBF1	0.157
ALG1	MMS19	0.156
ALG1	TERF2IP	0.156
ALG10	KCNH1	0.429
ALG2	ANXA11	0.429
ALG2	ANXA7	0.345
ALG2	CCNA2	0.184
ALG2	CCNB1	0.184
ALG2	CDKN2A	0.158
ALG2	DAPK1	0.406
ALG2	FAS	0.36
ALG2	FERMT3	0.156
ALG2	GOLT1B	0.191
ALG2	H2AFX	0.179
ALG2	HEBP2	0.598
ALG2	HMOX2	0.229
ALG2	LAMP1	0.326
ALG2	MAGEA1	0.155
ALG2	MAPK1IP1L	0.167
ALG2	MYH7	0.17
ALG2	MYH7B	0.17
ALG2	PDCD6	0.631
ALG2	PDCD6IP	0.417
ALG2	PEF1	0.33
ALG2	PLSCR3	0.354
ALG2	PTK2B	0.359
ALG2	PTPN23	0.393
ALG2	SEC31A	0.361
ALG2	SHISA5	0.378
ALG2	SRI	0.416
ALG2	TGOLN2	0.238
ALG2	TSG101	0.391
ALG2	VPS28	0.326
ALG2	VPS37A	0.331
ALG2	YWHAZ	0.168
ALG3	KLHL14	0.194
ALG5	CACNG4	0.157
ALG9	GABRE	0.204
ALK	ALKAL1	0.339
ALK	ALKAL2	0.331
ALK	BICD2	0.36
ALK	EPHA1	0.163
ALK	LTK	0.301
ALK	MAP2K7	0.206
ALK	NPM1	0.803
ALK	PIK3CB	0.889
ALK	PTN	0.774
ALK	PTPRB	0.251
ALK	PTPRG	0.221
ALK	PTPRZ1	0.516
ALK	SHC1	0.534
ALK	SHC3	0.482
ALK	SOCS1	0.216
ALK	TNFRSF8	0.939
ALK	TNK2	0.362
ALK	TUBGCP2	0.36
ALK	VAV3	0.399
ALK	VIM	0.609
ALK	ZC3HC1	0.703
ALKBH1	DNAJB6	0.439
ALKBH2	DHX16	0.441
ALKBH3	AK8	0.155
ALKBH3	ASCC3	0.988
ALKBH3	DDX31	0.174
ALKBH3	HSPA9	0.264
ALKBH3	LTBP1	0.189
ALKBH3	MGA	0.186
ALKBH3	RIF1	0.196
ALKBH3	TUBB	0.186
ALMS1	GTF2IRD1	0.36
ALMS1	RABL2A	0.17
ALOX12	KAT5	0.285
ALOX12	KRT85	0.337
ALOX12	LMNA	0.366
ALOX12	PLA2G1B	0.956
ALOX12	PLA2G4A	0.95
ALOX12	TRIB1	0.329
ALOX12B	ACE2	0.8
ALOX12B	B3GALNT1	0.151
ALOX12B	CCDC51	0.151
ALOX12B	GABBR2	0.8
ALOX12B	GPANK1	0.188
ALOX12B	KIR3DS1	0.151
ALOX12B	LMNA	0.363
ALOX12B	RAB3GAP1	0.8
ALOX15	PRKDC	0.363
ALOX5	ALOX5AP	0.995
ALOX5	HHIPL2	0.597
ALOX5	MAPKAPK2	0.967
ALOXE3	ALOX12B	0.506
ALOXE3	C20orf96	0.36
ALOXE3	GLIPR1	0.36
ALOXE3	GLYR1	0.165
ALOXE3	PLEKHB2	0.186
ALOXE3	TGM1	0.806
ALOXE3	VEGFB	0.167
ALOXE3	VPS39	0.324
ALPI	IRF5	0.365
ALPK1	ALOXE3	0.601
ALPP	ALPPL2	0.566
ALPP	GPLD1	0.367
ALPP	UBXN11	0.227
ALX4	ALX1	0.415
ALX4	EMX1	0.156
ALX4	FOXA3	0.259
ALX4	HOXA3	0.172
ALX4	HOXB13	0.529
ALYREF	ACIN1	0.786
ALYREF	ATP6V1E1	0.505
ALYREF	BCLAF1	0.694
ALYREF	CHTOP	0.929
ALYREF	DDIT4L	0.359
ALYREF	DDX39B	0.999
ALYREF	DDX3X	0.874
ALYREF	DHX9	0.956
ALYREF	DOT1L	0.173
ALYREF	EED	0.561
ALYREF	EIF4A3	0.981
ALYREF	FOS	0.413
ALYREF	GINS1	0.414
ALYREF	GLI1	0.373
ALYREF	GNL1	0.445
ALYREF	H2AFX	0.197
ALYREF	HNRNPM	0.955
ALYREF	HNRNPU	0.916
ALYREF	HSPA9	0.597
ALYREF	LEF1	0.475
ALYREF	LUZP4	0.909
ALYREF	MAGOH	0.974
ALYREF	NAA16	0.438
ALYREF	NAP1L1	0.487
ALYREF	NCBP1	0.994
ALYREF	NCBP3	0.808
ALYREF	NOP2	0.456
ALYREF	NR5A1	0.804
ALYREF	NXF1	0.996
ALYREF	NXT1	0.971
ALYREF	PABPC1	0.664
ALYREF	PABPC4	0.622
ALYREF	PCF11	0.94
ALYREF	PRMT8	0.345
ALYREF	PTBP3	0.15
ALYREF	RBM15	0.902
ALYREF	RBM15B	0.416
ALYREF	RBM34	0.562
ALYREF	RRP1B	0.343
ALYREF	SF3B4	0.953
ALYREF	SIGLEC11	0.629
ALYREF	SKIV2L	0.486
ALYREF	SMAD4	0.779
ALYREF	SRRM1	0.981
ALYREF	SRRM2	0.948
ALYREF	SRSF1	0.984
ALYREF	SRSF2	0.981
ALYREF	SRSF7	0.98
ALYREF	STAU1	0.193
ALYREF	TAP1	0.364
ALYREF	THOC3	0.996
ALYREF	THOC6	0.983
ALYREF	THOC7	0.986
ALYREF	TLE3	0.511
ALYREF	TRIP12	0.618
ALYREF	TRIP13	0.559
ALYREF	UBC	0.274
ALYREF	UGGT1	0.503
ALYREF	UPF1	0.762
ALYREF	UPF3A	0.812
ALYREF	UPF3B	0.981
ALYREF	VIRMA	0.774
ALYREF	WDR35	0.503
ALYREF	XRN1	0.528
ALYREF	ZC3H13	0.909
AMBN	FAM20A	0.52
AMBP	ALB	0.867
AMBP	COX8A	0.15
AMBRA1	CAMKMT	0.189
AMBRA1	HPS1	0.17
AMBRA1	IRGM	0.485
AMBRA1	LRRC29	0.18
AMBRA1	LRRC42	0.186
AMBRA1	PRAMEF5	0.18
AMBRA1	USP50	0.488
AMD1	PRELP	0.182
AMD1	RTBDN	0.16
AMER1	AMER3	0.469
AMER1	UBC	0.958
AMFR	ADRA1D	0.36
AMFR	ATXN3	0.531
AMFR	AUP1	0.745
AMFR	BAG6	0.384
AMFR	BRI3BP	0.155
AMFR	CD3D	0.768
AMFR	CD82	0.655
AMFR	CYP2E1	0.357
AMFR	CYP3A4	0.416
AMFR	DERL2	0.993
AMFR	DERL3	0.835
AMFR	DGAT2	0.365
AMFR	DHFR	0.372
AMFR	EEF1A1	0.198
AMFR	FAF1	0.229
AMFR	GET4	0.373
AMFR	GPI	0.688
AMFR	HERPUD1	0.436
AMFR	HMGCR	0.622
AMFR	HSP90B1	0.319
AMFR	HTR3E	0.595
AMFR	HTT	0.364
AMFR	INSIG1	0.818
AMFR	INSIG2	0.74
AMFR	ITPR1	0.405
AMFR	KPNB1	0.352
AMFR	MAVS	0.395
AMFR	MGRN1	0.42
AMFR	MYH10	0.165
AMFR	NPLOC4	0.851
AMFR	OS9	0.979
AMFR	OSBPL8	0.166
AMFR	PDIA2	0.392
AMFR	PMP22	0.297
AMFR	PSMA1	0.181
AMFR	PSMA2	0.162
AMFR	PSMA4	0.176
AMFR	PSMA5	0.184
AMFR	PSMA6	0.159
AMFR	PSMA7	0.159
AMFR	PSMB2	0.188
AMFR	PSMB5	0.195
AMFR	PSMB6	0.172
AMFR	PSMB7	0.18
AMFR	PSMC2	0.209
AMFR	PSMD14	0.378
AMFR	PSMD3	0.162
AMFR	PSMD6	0.165
AMFR	PSME4	0.17
AMFR	RHOT1	0.162
AMFR	RPL5	0.351
AMFR	SARAF	0.395
AMFR	SEC61B	0.221
AMFR	SEL1L	0.984
AMFR	SELENOS	0.931
AMFR	SOD1	0.459
AMFR	SVIP	0.825
AMFR	SYVN1	0.852
AMFR	TMUB1	0.298
AMFR	TOM1L1	0.162
AMFR	TRIM25	0.333
AMFR	UBC	0.964
AMFR	UBE2D1	0.634
AMFR	UBE2D2	0.655
AMFR	UBE2D3	0.452
AMFR	UBE2D4	0.4
AMFR	UBE2G1	0.646
AMFR	UBE2G2	0.988
AMFR	UBE2K	0.691
AMFR	UBE2N	0.516
AMFR	UBE2T	0.418
AMFR	UBE2W	0.297
AMFR	UBL4A	0.613
AMFR	UBXN1	0.927
AMFR	UBXN4	0.485
AMFR	UBXN7	0.391
AMFR	UFD1	0.873
AMFR	USP13	0.456
AMFR	YOD1	0.411
AMFR	ZFAND2B	0.781
AMH	AMHR2	0.989
AMH	EGFR	0.538
AMH	ETV5	0.24
AMHR2	BMPR1B	0.712
AMIGO1	AMIGO3	0.42
AMIGO2	AMIGO1	0.387
AMIGO2	AMIGO3	0.439
AMMECR1	CSNK1G1	0.324
AMMECR1	TSEN54	0.608
AMMECR1L	PGGT1B	0.193
AMOT	ALMS1	0.596
AMOT	AMOTL1	0.629
AMOT	AMOTL2	0.639
AMOT	ARHGAP17	0.902
AMOT	BCOR	0.203
AMOT	GCNT2	0.359
AMOT	HSD3B1	0.384
AMOT	ITCH	0.431
AMOT	KRT15	0.152
AMOT	LIN7A	0.556
AMOT	MPP5	0.976
AMOT	NEDD4	0.402
AMOT	NF2	0.643
AMOT	NLRP3	0.224
AMOT	OFD1	0.617
AMOT	PARD3	0.796
AMOT	PATJ	0.885
AMOT	PTPA	0.326
AMOT	PTPN14	0.431
AMOT	PTPRA	0.327
AMOT	RAB35	0.596
AMOT	RAB3IL1	0.167
AMOT	RNF166	0.152
AMOT	SAV1	0.672
AMOT	SPICE1	0.596
AMOT	TP53BP2	0.612
AMOT	UIMC1	0.614
AMOT	WWC1	0.554
AMOT	WWOX	0.162
AMOTL1	MAGI2	0.235
AMOTL1	NEDD4	0.2
AMOTL1	NF2	0.527
AMOTL2	NF2	0.655
AMOTL2	PARD3	0.598
AMOTL2	PATJ	0.647
AMOTL2	RAD51D	0.4
AMPD2	CSNK2B	0.173
AMPD2	NME7	0.394
AMPH	AP1G1	0.297
AMPH	ARL16	0.325
AMPH	CDK5R1	0.39
AMPH	MANEA	0.296
AMPH	NECAP1	0.952
AMPH	SGIP1	0.938
AMPH	SYNJ1	0.982
AMPH	TNK2	0.369
AMPH	UBC	0.934
AMY1B	AMY1A	0.838
AMY1B	AMY1C	0.839
AMY1C	AMY1A	0.89
AMY1C	MUC5B	0.381
AMY1C	SOD2	0.24
AMY2A	GP2	0.382
AMZ2	CTSO	0.324
AMZ2	DKK1	0.167
AMZ2	NCOA5	0.324
AMZ2	TMEM255B	0.324
AMZ2	ZNFX1	0.175
ANAPC1	ANAPC10	0.999
ANAPC1	ANAPC13	0.985
ANAPC1	ANAPC15	0.985
ANAPC1	ANAPC16	0.977
ANAPC1	ANAPC2	0.999
ANAPC1	ANAPC4	0.999
ANAPC1	ANAPC5	0.998
ANAPC1	ANAPC7	0.998
ANAPC1	BUB1B	0.999
ANAPC1	BUB3	0.987
ANAPC1	CCDC13	0.36
ANAPC1	CDC16	0.999
ANAPC1	CDC20	0.998
ANAPC1	CDC23	0.999
ANAPC1	CDC26	0.979
ANAPC1	CDC27	0.999
ANAPC1	CFAP97	0.774
ANAPC1	COPS2	0.329
ANAPC1	FBXO5	0.722
ANAPC1	FZR1	0.997
ANAPC1	HECW2	0.914
ANAPC1	KNG1	0.159
ANAPC1	L3MBTL1	0.152
ANAPC1	LATS2	0.162
ANAPC1	MAD2L1	0.959
ANAPC1	MAGIX	0.165
ANAPC1	MDC1	0.396
ANAPC1	MED19	0.156
ANAPC1	NAP1L4	0.777
ANAPC1	NCL	0.775
ANAPC1	NEK2	0.943
ANAPC1	PENK	0.164
ANAPC1	PHF8	0.38
ANAPC1	PIFO	0.17
ANAPC1	RPAP1	0.263
ANAPC1	SIRT6	0.179
ANAPC1	SMARCAD1	0.22
ANAPC1	TAF4	0.778
ANAPC1	TRIM33	0.192
ANAPC1	UBC	0.932
ANAPC1	UBE2S	0.938
ANAPC1	USP1	0.356
ANAPC1	USP37	0.196
ANAPC10	ANAPC11	0.999
ANAPC10	ANAPC13	0.994
ANAPC10	ANAPC2	0.999
ANAPC10	ANAPC5	0.999
ANAPC10	ANAPC7	0.999
ANAPC10	BUB1B	0.999
ANAPC10	CDC23	0.999
ANAPC10	CDC26	0.989
ANAPC10	CFAP97	0.774
ANAPC10	FBXO5	0.924
ANAPC10	FZR1	0.999
ANAPC10	NAP1L4	0.787
ANAPC10	PLPPR2	0.168
ANAPC10	SLC25A25	0.774
ANAPC10	SMAD3	0.375
ANAPC10	SMPD2	0.195
ANAPC10	TAF3	0.774
ANAPC10	TAF5	0.774
ANAPC10	UTP15	0.417
ANAPC11	ARPP19	0.774
ANAPC11	FZR1	0.996
ANAPC11	RNF111	0.934
ANAPC11	UBC	0.971
ANAPC11	UBE2K	0.993
ANAPC11	UBE2U	0.943
ANAPC13	ANAPC5	0.998
ANAPC13	BUB1B	0.967
ANAPC13	CDC26	0.989
ANAPC13	FBXO5	0.878
ANAPC13	FZR1	0.988
ANAPC13	USP37	0.178
ANAPC15	ANAPC10	0.996
ANAPC15	ANAPC13	0.999
ANAPC15	ANAPC2	0.992
ANAPC15	ANAPC4	0.995
ANAPC15	ANAPC5	0.994
ANAPC15	ANAPC7	0.992
ANAPC15	APC2	0.669
ANAPC15	BUB1B	0.98
ANAPC15	C17orf49	0.17
ANAPC15	C1QTNF6	0.16
ANAPC15	CDC23	0.995
ANAPC15	CDC26	0.98
ANAPC15	CFAP97	0.604
ANAPC15	FBXO5	0.958
ANAPC15	FZR1	0.993
ANAPC15	GNPTAB	0.157
ANAPC15	NEK2	0.963
ANAPC15	PRDX1	0.168
ANAPC15	RRM2	0.2
ANAPC15	SLC25A25	0.508
ANAPC15	USP37	0.197
ANAPC15	VBP1	0.151
ANAPC16	ANAPC10	0.984
ANAPC16	ANAPC13	0.985
ANAPC16	ANAPC15	0.97
ANAPC16	ANAPC2	0.978
ANAPC16	ANAPC4	0.978
ANAPC16	ANAPC5	0.98
ANAPC16	ANAPC7	0.978
ANAPC16	BUB1B	0.977
ANAPC16	BUB3	0.925
ANAPC16	CDC20	0.981
ANAPC16	CDC23	0.983
ANAPC16	CDC26	0.986
ANAPC16	CFAP97	0.78
ANAPC16	PENK	0.182
ANAPC16	PSMB2	0.979
ANAPC16	PSMB5	0.976
ANAPC16	PSMB6	0.978
ANAPC16	PSMB7	0.977
ANAPC16	PSMG2	0.782
ANAPC16	RBBP6	0.336
ANAPC16	SEM1	0.908
ANAPC16	TTLL1	0.156
ANAPC16	USP37	0.175
ANAPC2	ANAPC11	0.999
ANAPC2	ANAPC13	0.984
ANAPC2	ANAPC5	0.999
ANAPC2	ANAPC7	0.999
ANAPC2	BUB1B	0.999
ANAPC2	CDC23	0.999
ANAPC2	CDC26	0.977
ANAPC2	FBXO2	0.925
ANAPC2	FBXO5	0.872
ANAPC2	FZR1	0.999
ANAPC2	GRIA1	0.285
ANAPC2	NINL	0.324
ANAPC2	PHF8	0.394
ANAPC2	PRKDC	0.378
ANAPC2	PTTG1	0.979
ANAPC2	RNF34	0.933
ANAPC2	TTLL1	0.163
ANAPC2	UBE2D2	0.98
ANAPC2	UBE2S	0.978
ANAPC4	ANAPC10	0.999
ANAPC4	ANAPC11	0.999
ANAPC4	ANAPC13	0.995
ANAPC4	ANAPC2	0.999
ANAPC4	ANAPC5	0.999
ANAPC4	ANAPC7	0.999
ANAPC4	APC2	0.66
ANAPC4	BUB1B	0.999
ANAPC4	BUB3	0.978
ANAPC4	CDC23	0.999
ANAPC4	CDC26	0.979
ANAPC4	CFAP97	0.774
ANAPC4	FBXO5	0.953
ANAPC4	FZR1	0.999
ANAPC4	NEK2	0.978
ANAPC4	PENK	0.178
ANAPC4	PHF8	0.428
ANAPC4	RAD21	0.255
ANAPC4	RRM2	0.249
ANAPC4	SLC25A25	0.786
ANAPC4	TEP1	0.299
ANAPC4	TTLL1	0.181
ANAPC4	UBE2S	0.939
ANAPC4	USP37	0.234
ANAPC5	BUB1B	0.999
ANAPC5	FBXO5	0.746
ANAPC5	FZR1	0.999
ANAPC5	MDC1	0.351
ANAPC5	PHF8	0.359
ANAPC5	PIFO	0.165
ANAPC5	SLC25A25	0.222
ANAPC5	SMURF2	0.92
ANAPC5	TEP1	0.31
ANAPC5	TTLL1	0.16
ANAPC5	USP37	0.345
ANAPC7	ANAPC13	0.995
ANAPC7	ANAPC5	0.999
ANAPC7	BUB1B	0.996
ANAPC7	CACNG4	0.173
ANAPC7	CDC26	0.979
ANAPC7	CFAP97	0.774
ANAPC7	CNOT7	0.184
ANAPC7	FBXO5	0.867
ANAPC7	FZR1	0.997
ANAPC7	MDC1	0.376
ANAPC7	NAP1L4	0.774
ANAPC7	PHF8	0.359
ANAPC7	PLEKHO2	0.156
ANAPC7	SIRT6	0.161
ANAPC7	SLC25A25	0.194
ANAPC7	SUPT6H	0.778
ANAPC7	SYNGR2	0.344
ANAPC7	TEP1	0.204
ANAPC7	UBC	0.912
ANAPC7	UBE2S	0.948
ANAPC7	USP37	0.356
ANG	FST	0.573
ANG	IGKV3D-7	0.8
ANG	PLAUR	0.448
ANGEL1	ARHGAP25	0.173
ANGPT2	ANGPT1	0.935
ANGPT2	ITGB1	0.406
ANGPT2	VEGFA	0.938
ANGPTL1	TEK	0.728
ANGPTL1	TIE1	0.822
ANGPTL2	LILRB2	0.68
ANGPTL4	ITGB1	0.348
ANGPTL4	KAT5	0.329
ANGPTL8	ANGPTL3	0.986
ANK1	CD44	0.931
ANK1	EPB42	0.847
ANK1	NBPF3	0.382
ANK1	NFASC	0.971
ANK1	OBSCN	0.849
ANK1	RHAG	0.52
ANK1	SLC4A3	0.455
ANK1	SPTAN1	0.95
ANK1	TTN	0.552
ANK2	DCTN4	0.967
ANK2	DNAAF2	0.349
ANK2	DNAJB5	0.185
ANK2	EPB42	0.583
ANK2	KCNJ11	0.483
ANK2	NRCAM	0.984
ANK2	OBSCN	0.596
ANK2	PALM2	0.223
ANK2	SIGMAR1	0.431
ANK2	SLC8A1	0.58
ANK2	TNIK	0.178
ANK3	FAS	0.428
ANK3	HOOK1	0.654
ANK3	KCNC1	0.481
ANK3	PALM2	0.329
ANK3	PLEC	0.476
ANK3	SCN1B	0.958
ANK3	SCN2A	0.979
ANK3	SCNN1B	0.36
ANK3	SPTBN4	0.974
ANKFY1	CAMSAP3	0.169
ANKFY1	EZH2	0.291
ANKFY1	MICALL1	0.405
ANKFY1	TTC29	0.164
ANKFY1	VPS35	0.419
ANKHD1	ANKHD1-EIF4EBP3	0.8
ANKHD1	SLMAP	0.806
ANKLE2	BCL2L11	0.167
ANKLE2	FAN1	0.168
ANKLE2	HSF2	0.165
ANKLE2	KIF26B	0.16
ANKLE2	RTEL1	0.178
ANKLE2	RTEL1-TNFRSF6B	0.205
ANKLE2	STAC	0.359
ANKMY2	AARS	0.194
ANKMY2	AGO3	0.604
ANKMY2	ARIH1	0.178
ANKMY2	CTSC	0.173
ANKMY2	DNAAF1	0.156
ANKMY2	DTD1	0.347
ANKMY2	KIF5C	0.417
ANKMY2	LRSAM1	0.188
ANKMY2	METTL13	0.774
ANKMY2	PARP6	0.273
ANKMY2	PBDC1	0.442
ANKMY2	RPRD1A	0.347
ANKMY2	SURF2	0.331
ANKRA2	CCAR2	0.19
ANKRA2	FAM83B	0.186
ANKRA2	GTF3C5	0.195
ANKRA2	HUWE1	0.276
ANKRA2	LMNA	0.186
ANKRA2	PDE3B	0.386
ANKRA2	RFX5	0.509
ANKRA2	RFX7	0.843
ANKRA2	SOGA1	0.186
ANKRD1	DNAJB6	0.156
ANKRD1	MYOM2	0.222
ANKRD1	MYPN	0.73
ANKRD1	PDE4DIP	0.412
ANKRD1	TTN	0.813
ANKRD1	UBE2O	0.359
ANKRD11	HOOK2	0.182
ANKRD11	MKRN3	0.214
ANKRD11	NCOA1	0.626
ANKRD11	PDE4DIP	0.182
ANKRD12	GLIPR2	0.604
ANKRD12	SLIT2	0.188
ANKRD12	ULBP2	0.188
ANKRD13A	EGFR	0.593
ANKRD13A	KCNIP2	0.774
ANKRD13A	UBC	0.329
ANKRD13B	EGFR	0.339
ANKRD13B	GNAI3	0.187
ANKRD13B	PSMD4	0.424
ANKRD13B	UBC	0.329
ANKRD13C	PTGDR2	0.387
ANKRD13D	EGFR	0.331
ANKRD13D	TMEM255A	0.17
ANKRD13D	UBC	0.334
ANKRD17	ANKHD1	0.835
ANKRD17	ANKHD1-EIF4EBP3	0.801
ANKRD17	FOSL2	0.169
ANKRD17	LHX9	0.295
ANKRD2	PML	0.326
ANKRD2	TTN	0.79
ANKRD23	MYPN	0.598
ANKRD23	TTN	0.798
ANKRD26	LMNA	0.36
ANKRD27	DLK1	0.28
ANKRD27	KIF5C	0.384
ANKRD27	RAB32	0.891
ANKRD27	RAB40A	0.39
ANKRD27	RAB40B	0.432
ANKRD27	RAB40C	0.456
ANKRD27	VPS26B	0.195
ANKRD28	ACACB	0.365
ANKRD28	ANK2	0.152
ANKRD28	ANKRD44	0.662
ANKRD28	CSNK2B	0.178
ANKRD28	DOCK1	0.453
ANKRD28	EHMT2	0.23
ANKRD28	FLNC	0.334
ANKRD28	GRP	0.285
ANKRD28	HECTD1	0.189
ANKRD28	HOXC4	0.2
ANKRD28	KRI1	0.206
ANKRD28	MOB1A	0.596
ANKRD28	MOB1B	0.596
ANKRD28	NECAP2	0.749
ANKRD28	NEK4	0.206
ANKRD28	OSBPL5	0.18
ANKRD28	PLK2	0.626
ANKRD28	PPP6C	0.976
ANKRD28	PPP6R1	0.966
ANKRD28	PPP6R2	0.642
ANKRD28	PPP6R3	0.963
ANKRD28	RNF11	0.198
ANKRD28	SHKBP1	0.164
ANKRD28	SMC1A	0.157
ANKRD28	TNKS	0.152
ANKRD28	TNKS2	0.15
ANKRD28	UBR5	0.302
ANKRD28	USP16	0.392
ANKRD28	WHRN	0.359
ANKRD28	ZNRF2	0.336
ANKRD29	ADD2	0.328
ANKRD29	FAM122B	0.164
ANKRD30A	UBC	0.253
ANKRD39	CUL4B	0.288
ANKRD40	EHBP1L1	0.164
ANKRD40	ENDOV	0.167
ANKRD40	RCBTB1	0.195
ANKRD40	SUMF2	0.324
ANKRD44	ANKFY1	0.305
ANKRD44	CDKN2C	0.239
ANKRD44	NOTCH2	0.264
ANKRD44	PPP6R3	0.73
ANKRD46	CST9	0.229
ANKRD46	PSG3	0.774
ANKRD49	RAN	0.208
ANKRD50	ARL13B	0.2
ANKRD52	PPP6R3	0.657
ANKRD55	HIF1AN	0.175
ANKRD55	TTC30B	0.362
ANKRD55	ZSCAN1	0.256
ANKRD6	WWOX	0.393
ANKS1A	ADGRL1	0.351
ANKS1A	ARHGAP10	0.154
ANKS1A	COIL	0.363
ANKS1A	DEF6	0.244
ANKS1A	DNPEP	0.356
ANKS1A	EGFR	0.303
ANKS1A	ERBB4	0.24
ANKS1A	KLF15	0.556
ANKS1A	NHLRC2	0.165
ANKS1A	PACSIN2	0.224
ANKS1A	PTPN12	0.534
ANKS1A	RANBP3	0.162
ANKS1A	TRIM47	0.347
ANKS1A	TRIT1	0.256
ANKS1A	UBC	0.412
ANKS1B	EGFR	0.241
ANKS1B	ERBB4	0.24
ANKS1B	ITGB1	0.261
ANKS1B	ITGB3	0.261
ANKS1B	ITGB7	0.261
ANKS1B	RIN1	0.154
ANKS1B	UBC	0.412
ANKS3	MRRF	0.657
ANKS6	ANKS3	0.319
ANKS6	NEK8	0.639
ANKZF1	YWHAE	0.401
ANLN	ABLIM1	0.17
ANLN	ACTN1	0.161
ANLN	AFAP1	0.174
ANLN	AKAP2	0.161
ANLN	APOB	0.198
ANLN	ARHGAP10	0.158
ANLN	ARHGAP11A	0.527
ANLN	ARHGAP21	0.158
ANLN	ARPC2	0.17
ANLN	ARPC4-TTLL3	0.175
ANLN	ARPC5L	0.168
ANLN	BASP1	0.155
ANLN	BMP2K	0.184
ANLN	CAPZA1	0.175
ANLN	CD163	0.158
ANLN	CENPJ	0.218
ANLN	COBL	0.167
ANLN	CORO1B	0.161
ANLN	CORO1C	0.17
ANLN	CORO2A	0.158
ANLN	CPM	0.206
ANLN	FEM1A	0.162
ANLN	FLNB	0.278
ANLN	GTSE1	0.491
ANLN	INF2	0.228
ANLN	INTS7	0.206
ANLN	ITPR3	0.159
ANLN	LUZP1	0.178
ANLN	MARCH10	0.271
ANLN	MEN1	0.503
ANLN	MISP	0.176
ANLN	MPRIP	0.161
ANLN	MRPL3	0.169
ANLN	MYL12A	0.509
ANLN	MYLK	0.199
ANLN	MYO1B	0.173
ANLN	MYO5A	0.226
ANLN	MYO5B	0.231
ANLN	MYO5C	0.23
ANLN	NEXN	0.223
ANLN	PICALM	0.179
ANLN	PLEKHG3	0.171
ANLN	PPP1R12A	0.254
ANLN	PPP1R12B	0.226
ANLN	RAB42	0.17
ANLN	RAI14	0.193
ANLN	RTN1	0.17
ANLN	SEPT10	0.351
ANLN	SEPT2	0.487
ANLN	SEPT6	0.513
ANLN	SEPT7	0.687
ANLN	SEPT9	0.414
ANLN	SIPA1	0.155
ANLN	SORBS2	0.168
ANLN	SPECC1	0.163
ANLN	SSH2	0.172
ANLN	SYNPO	0.168
ANLN	TMOD1	0.174
ANLN	TPRN	0.16
ANLN	TWF1	0.155
ANLN	UBAP2L	0.432
ANLN	ZBTB20	0.17
ANLN	ZWILCH	0.757
ANO3	RGMA	0.15
ANO6	LGALS8	0.182
ANOS1	FGF2	0.934
ANOS1	FGFR1	0.832
ANP32A	ANP32B	0.793
ANP32A	ANP32E	0.799
ANP32A	ARPC1B	0.157
ANP32A	CHAF1A	0.399
ANP32A	DCAF1	0.417
ANP32A	E4F1	0.704
ANP32A	EIF3E	0.417
ANP32A	HIST2H2AC	0.553
ANP32A	HIST2H2BE	0.501
ANP32A	KPNA5	0.168
ANP32A	KPNA7	0.154
ANP32A	PAPPA	0.774
ANP32A	PDLIM5	0.267
ANP32A	RPA2	0.218
ANP32A	SSRP1	0.503
ANP32A	VBP1	0.206
ANP32B	AHCYL2	0.61
ANP32B	ARPC1B	0.157
ANP32B	ARPC2	0.172
ANP32B	ARPC5	0.269
ANP32B	BAX	0.176
ANP32B	GRPEL1	0.237
ANP32B	HIST1H2AA	0.495
ANP32B	KPNA5	0.612
ANP32B	PIDD1	0.247
ANP32B	RPA1	0.469
ANP32B	TEP1	0.205
ANP32E	AHCYL2	0.546
ANP32E	ATP6V1C1	0.239
ANP32E	FYTTD1	0.357
ANP32E	HIST1H2BJ	0.834
ANP32E	PAPPA	0.774
ANP32E	PARD3	0.383
ANP32E	SNX2	0.347
ANP32E	SNX6	0.347
ANP32E	VPS35	0.355
ANPEP	TM4SF1	0.397
ANTXR1	GJB2	0.16
ANTXR1	KIRREL1	0.276
ANTXR1	KLF8	0.154
ANTXR1	MAP2K7	0.325
ANTXR1	PAM16	0.626
ANTXR1	PCOLCE	0.41
ANTXR1	PCYOX1	0.181
ANTXR1	SYN1	0.157
ANTXR1	WNT5A	0.217
ANTXR2	COL4A3	0.325
ANXA1	ANXA4	0.541
ANXA1	CCAR2	0.36
ANXA1	COL1A1	0.407
ANXA1	DYSF	0.973
ANXA1	EGFR	0.745
ANXA1	HSPA1A	0.474
ANXA1	MAP1S	0.184
ANXA1	MEIS2	0.258
ANXA1	MST1	0.337
ANXA1	PPIA	0.366
ANXA1	S100A11	0.88
ANXA1	TFG	0.16
ANXA1	TLE3	0.36
ANXA1	TP53BP2	0.159
